credito_id,numero_pago,fecha,saldo_inicial_centavos,capital_centavos,interes_centavos,iva_interes_centavos,mensualidad_centavos,saldo_final_centavos,estatus,fecha_pago
cred_ana_personal,1,2026-01-05,8000000,241335,186000,29760,457095,7758665,pagado,2026-01-05
cred_ana_personal,2,2026-02-05,7758665,247844,180389,28862,457095,7510821,pagado,2026-02-05
cred_ana_personal,3,2026-03-05,7510821,254528,174627,27940,457095,7256293,pagado,2026-03-05
cred_ana_personal,4,2026-04-05,7256293,261393,168709,26993,457095,6994900,pagado,2026-04-05
cred_ana_personal,5,2026-05-05,6994900,268443,162631,26021,457095,6726457,pagado,2026-05-05
cred_ana_personal,6,2026-06-05,6726457,275683,156390,25022,457095,6450774,pagado,2026-06-05
cred_ana_personal,7,2026-07-05,6450774,283118,149980,23997,457095,6167656,pagado,2026-07-05
cred_ana_personal,8,2026-08-05,6167656,290753,143398,22944,457095,5876903,pagado,2026-08-05
cred_ana_personal,9,2026-09-05,5876903,298595,136638,21862,457095,5578308,pagado,2026-09-05
cred_ana_personal,10,2026-10-05,5578308,306648,129696,20751,457095,5271660,pendiente,
cred_ana_personal,11,2026-11-05,5271660,314918,122566,19611,457095,4956742,pendiente,
cred_ana_personal,12,2026-12-05,4956742,323412,115244,18439,457095,4633330,pendiente,
cred_ana_personal,13,2027-01-05,4633330,332134,107725,17236,457095,4301196,pendiente,
cred_ana_personal,14,2027-02-05,4301196,341092,100003,16000,457095,3960104,pendiente,
cred_ana_personal,15,2027-03-05,3960104,350291,92072,14732,457095,3609813,pendiente,
cred_ana_personal,16,2027-04-05,3609813,359739,83928,13428,457095,3250074,pendiente,
cred_ana_personal,17,2027-05-05,3250074,369441,75564,12090,457095,2880633,pendiente,
cred_ana_personal,18,2027-06-05,2880633,379404,66975,10716,457095,2501229,pendiente,
cred_ana_personal,19,2027-07-05,2501229,389636,58154,9305,457095,2111593,pendiente,
cred_ana_personal,20,2027-08-05,2111593,400145,49095,7855,457095,1711448,pendiente,
cred_ana_personal,21,2027-09-05,1711448,410937,39791,6367,457095,1300511,pendiente,
cred_ana_personal,22,2027-10-05,1300511,422020,30237,4838,457095,878491,pendiente,
cred_ana_personal,23,2027-11-05,878491,433402,20425,3268,457095,445089,pendiente,
cred_ana_personal,24,2027-12-05,445089,445089,10348,1656,457093,0,pendiente,
cred_beto_nomina,1,2024-12-20,6000000,106636,124500,19920,251056,5893364,pagado,2024-12-20
cred_beto_nomina,2,2025-01-20,5893364,109203,122287,19566,251056,5784161,pagado,2025-01-20
cred_beto_nomina,3,2025-02-20,5784161,111832,120021,19203,251056,5672329,pagado,2025-02-20
cred_beto_nomina,4,2025-03-20,5672329,114523,117701,18832,251056,5557806,pagado,2025-03-20
cred_beto_nomina,5,2025-04-20,5557806,117280,115324,18452,251056,5440526,pagado,2025-04-20
cred_beto_nomina,6,2025-05-20,5440526,120102,112891,18063,251056,5320424,pagado,2025-05-20
cred_beto_nomina,7,2025-06-20,5320424,122993,110399,17664,251056,5197431,pagado,2025-06-20
cred_beto_nomina,8,2025-07-20,5197431,125953,107847,17256,251056,5071478,pagado,2025-07-20
cred_beto_nomina,9,2025-08-20,5071478,128986,105233,16837,251056,4942492,pagado,2025-08-20
cred_beto_nomina,10,2025-09-20,4942492,132090,102557,16409,251056,4810402,pagado,2025-09-20
cred_beto_nomina,11,2025-10-20,4810402,135269,99816,15971,251056,4675133,pagado,2025-10-20
cred_beto_nomina,12,2025-11-20,4675133,138526,97009,15521,251056,4536607,pagado,2025-11-20
cred_beto_nomina,13,2025-12-20,4536607,141859,94135,15062,251056,4394748,pagado,2025-12-20
cred_beto_nomina,14,2026-01-20,4394748,145274,91191,14591,251056,4249474,pagado,2026-01-20
cred_beto_nomina,15,2026-02-20,4249474,148771,88177,14108,251056,4100703,pagado,2026-02-20
cred_beto_nomina,16,2026-03-20,4100703,152352,85090,13614,251056,3948351,pagado,2026-03-20
cred_beto_nomina,17,2026-04-20,3948351,156020,81928,13108,251056,3792331,pagado,2026-04-20
cred_beto_nomina,18,2026-05-20,3792331,159774,78691,12591,251056,3632557,pagado,2026-05-20
cred_beto_nomina,19,2026-06-20,3632557,163620,75376,12060,251056,3468937,pagado,2026-06-20
cred_beto_nomina,20,2026-07-20,3468937,167559,71980,11517,251056,3301378,pagado,2026-07-20
cred_beto_nomina,21,2026-08-20,3301378,171591,68504,10961,251056,3129787,pagado,2026-08-20
cred_beto_nomina,22,2026-09-20,3129787,175722,64943,10391,251056,2954065,pagado,2026-09-20
cred_beto_nomina,23,2026-10-20,2954065,179951,61297,9808,251056,2774114,pendiente,
cred_beto_nomina,24,2026-11-20,2774114,184283,57563,9210,251056,2589831,pendiente,
