id,nombre,razon_social,categoria_id,ciudad,giro
com_heb_valle,HEB Valle Oriente,HEB México S. de R.L. de C.V.,cat_super,San Pedro Garza García,autoservicio
com_heb_cumbres,HEB Cumbres,HEB México S. de R.L. de C.V.,cat_super,Monterrey,autoservicio
com_soriana_gonzalitos,Soriana Gonzalitos,Tiendas Soriana S.A. de C.V.,cat_super,Monterrey,autoservicio
com_walmart_lincoln,Walmart Lincoln,Nueva Walmart de México S. de R.L.,cat_super,Monterrey,autoservicio
com_costco_valle,Costco Valle,Costco de México S.A. de C.V.,cat_super,San Pedro Garza García,club_de_precio
com_smart_anahuac,Bodega Aurrera Anáhuac,Nueva Walmart de México S. de R.L.,cat_super,San Nicolás de los Garza,autoservicio
com_oxxo_garza_sada,OXXO Garza Sada,Cadena Comercial OXXO S.A. de C.V.,cat_conveniencia,Monterrey,conveniencia
com_oxxo_tecnologico,OXXO Tecnológico,Cadena Comercial OXXO S.A. de C.V.,cat_conveniencia,Monterrey,conveniencia
com_seven_constitucion,7-Eleven Constitución,7-Eleven México S.A. de C.V.,cat_conveniencia,Monterrey,conveniencia
com_farmacia_benavides,Farmacias Benavides Contry,Farmacias Benavides S.A.B.,cat_salud,Monterrey,farmacia
com_ordonez,Tacos El Ordóñez,Ordóñez Alimentos S.A. de C.V.,cat_restaurantes,Monterrey,restaurante
com_cabrito_regio,El Cabrito Regio,Regio Gastronomía S.A. de C.V.,cat_restaurantes,Monterrey,restaurante
com_starbucks_fundadora,Starbucks Fundidora,Café Sirena S. de R.L. de C.V.,cat_restaurantes,Monterrey,cafeteria
com_rappi,Rappi,Rappi México S.A.P.I. de C.V.,cat_restaurantes,,entrega_a_domicilio
com_didi_food,DiDi Food,DiDi Food México S. de R.L.,cat_restaurantes,,entrega_a_domicilio
com_wingstop_valle,Wingstop Valle,Alimentos Alados S.A. de C.V.,cat_restaurantes,San Pedro Garza García,restaurante
com_uber,Uber,Uber México Technology S.A.P.I.,cat_transporte,,movilidad
com_didi,DiDi,DiDi Mobility México S. de R.L.,cat_transporte,,movilidad
com_oxxo_gas_lazaro,OXXO Gas Lázaro Cárdenas,Servicio OXXO Gas S.A. de C.V.,cat_transporte,San Pedro Garza García,gasolinera
com_pemex_morones,Pemex Morones Prieto,Combustibles del Norte S.A. de C.V.,cat_transporte,Monterrey,gasolinera
com_metrorrey,Metrorrey,Sistema de Transporte Colectivo,cat_transporte,Monterrey,transporte_publico
