usuario_id,periodo,ingreso_centavos,gasto_centavos,ahorro_centavos,tasa_ahorro_pct,ratio_deuda_ingreso_pct,gasto_esencial_pct,gasto_discrecional_pct,meses_fondo_emergencia,puntaje_salud,habito_detectado
usr_ana,2025-10,3200000,2416450,783550,0.2449,0.1428,0.7266,0.2734,2.76,88,Tu fondo de emergencia cubre menos de 3 meses
usr_ana,2025-11,3200000,2819100,380900,0.119,0.1428,0.6456,0.3544,2.54,82,Tu fondo de emergencia cubre menos de 3 meses
usr_ana,2025-12,4800000,4376450,423550,0.0882,0.0952,0.4337,0.5663,2.08,69,Tu fondo de emergencia cubre menos de 3 meses
usr_ana,2026-01,3200000,2367400,832600,0.2602,0.1428,0.7425,0.2575,2.22,77,Tu fondo de emergencia cubre menos de 3 meses
usr_ana,2026-02,3200000,2476950,723050,0.226,0.1428,0.7171,0.2829,2.3,81,Tu fondo de emergencia cubre menos de 3 meses
usr_ana,2026-03,3200000,2586150,613850,0.1918,0.1428,0.7208,0.2792,2.34,84,Tu fondo de emergencia cubre menos de 3 meses
usr_ana,2026-04,3220800,4442750,-1221950,-0.3794,0.1419,0.8304,0.1696,2.17,59,Tu fondo de emergencia cubre menos de 3 meses
usr_ana,2026-05,3219750,2579300,640450,0.1989,0.142,0.7438,0.2562,2.21,59,Tu fondo de emergencia cubre menos de 3 meses
usr_ana,2026-06,3221150,2386100,835050,0.2592,0.1419,0.7285,0.2715,2.27,62,Tu fondo de emergencia cubre menos de 3 meses
usr_ana,2026-07,3219500,2640100,579400,0.18,0.142,0.6812,0.3188,2.29,83,Tu fondo de emergencia cubre menos de 3 meses
usr_ana,2026-08,3222450,3141050,81400,0.0253,0.1418,0.5833,0.4167,2.27,74,Tu fondo de emergencia cubre menos de 3 meses
usr_beto,2025-10,3450000,3097900,352100,0.1021,0.1583,0.8077,0.1923,0.09,52,Traes tu tarjeta al 97 % de su límite
usr_beto,2025-11,3450000,2958900,491100,0.1423,0.1583,0.8427,0.1573,0.09,55,Traes tu tarjeta al 97 % de su límite
usr_beto,2025-12,5175000,3595950,1579050,0.3051,0.1055,0.8009,0.1991,0.09,68,Traes tu tarjeta al 97 % de su límite
usr_beto,2026-01,3450000,2836600,613400,0.1778,0.1583,0.843,0.157,0.09,64,Traes tu tarjeta al 97 % de su límite
usr_beto,2026-02,3450000,4487600,-1037600,-0.3008,0.1583,0.8759,0.1241,0.08,51,Traes tu tarjeta al 97 % de su límite
usr_beto,2026-03,3450000,2791100,658900,0.191,0.1583,0.8527,0.1473,0.09,42,Traes tu tarjeta al 97 % de su límite
usr_beto,2026-04,3450000,2885050,564950,0.1638,0.1583,0.8196,0.1804,0.09,42,Traes tu tarjeta al 97 % de su límite
usr_beto,2026-05,3450000,2940500,509500,0.1477,0.1583,0.8692,0.1308,0.09,60,Traes tu tarjeta al 97 % de su límite
usr_beto,2026-06,3450000,5338450,-1888450,-0.5474,0.1583,0.9188,0.0812,0.08,39,Traes tu tarjeta al 97 % de su límite
usr_beto,2026-07,3450000,3107400,342600,0.0993,0.1583,0.8471,0.1529,0.08,39,Traes tu tarjeta al 97 % de su límite
usr_beto,2026-08,3450000,3334950,115050,0.0333,0.1583,0.7809,0.2191,0.08,39,Traes tu tarjeta al 97 % de su límite
usr_carmen,2025-10,7681200,8232850,-551650,-0.0718,0.4092,0.8185,0.1815,8.13,50,Gastas más de lo que ingresas
usr_carmen,2025-11,11746650,8078200,3668450,0.3123,0.2676,0.8018,0.1982,8.21,76,Tus hábitos son sanos este mes
usr_carmen,2025-12,13846200,8981250,4864950,0.3514,0.227,0.7995,0.2005,7.94,84,Tus hábitos son sanos este mes
usr_carmen,2026-01,10028500,16514400,-6485900,-0.6467,0.3134,0.3709,0.6291,6.4,48,"Ahorras, pero menos del 10 % de tu ingreso"
usr_carmen,2026-02,9760550,7551850,2208700,0.2263,0.322,0.8323,0.1677,6.78,54,"Ahorras, pero menos del 10 % de tu ingreso"
usr_carmen,2026-03,12041150,8008550,4032600,0.3349,0.261,0.8369,0.1631,7,56,Gastas más de lo que ingresas
usr_carmen,2026-04,12354700,8609250,3745450,0.3032,0.2544,0.8053,0.1947,7.1,82,Tus hábitos son sanos este mes
usr_carmen,2026-05,13023200,9486950,3536250,0.2715,0.2413,0.6771,0.3229,7.1,82,Tus hábitos son sanos este mes
usr_carmen,2026-06,12134300,8257900,3876400,0.3195,0.259,0.8322,0.1678,7.2,81,Tus hábitos son sanos este mes
usr_carmen,2026-07,8378250,8835000,-456750,-0.0545,0.3751,0.7785,0.2215,7.23,75,Tus pagos de deuda superan el 35 % de tu ingreso
usr_carmen,2026-08,15209100,8440950,6768150,0.445,0.2067,0.784,0.216,7.29,85,Tus hábitos son sanos este mes
