perfil,instrumento_id,peso_objetivo_pct
conservador,inst_cetes_28,0.2
conservador,inst_cetes_182,0.15
conservador,inst_bondia,0.15
conservador,inst_pagare_180,0.1
conservador,inst_fondo_corto,0.2
conservador,inst_fondo_medio,0.1
conservador,inst_fondo_rv_glo,0.05
conservador,inst_etf_global,0.05
moderado,inst_cetes_91,0.1
moderado,inst_bondia,0.1
moderado,inst_fondo_corto,0.15
moderado,inst_fondo_medio,0.15
moderado,inst_deuda_corp,0.1
moderado,inst_fondo_rv_nal,0.1
moderado,inst_etf_global,0.2
moderado,inst_naftrac,0.1
agresivo,inst_bondia,0.1
agresivo,inst_fondo_medio,0.1
agresivo,inst_deuda_corp,0.05
agresivo,inst_fondo_rv_nal,0.15
agresivo,inst_fondo_rv_glo,0.15
agresivo,inst_etf_global,0.25
agresivo,inst_naftrac,0.1
agresivo,inst_acc_gfnorte,0.1
