id,portafolio_id,instrumento_id,titulos,precio_promedio_compra_centavos,precio_actual_centavos,costo_centavos,valor_mercado_centavos,plusvalia_centavos,peso_pct,peso_objetivo_pct,fecha_compra
pos_001,port_ana,inst_cetes_28,3.773006,105091,110334,396509,416291,19782,0.1648,0.2,2026-03-16
pos_002,port_ana,inst_cetes_182,4.136947,104106,109417,430681,452652,21971,0.1792,0.15,2026-03-16
pos_003,port_ana,inst_bondia,1.463908,257635,269553,377154,394601,17447,0.1562,0.15,2026-03-16
pos_004,port_ana,inst_pagare_180,2.383009,104551,109078,249146,259934,10788,0.1029,0.1,2026-03-16
pos_005,port_ana,inst_fondo_corto,1.943151,195660,205029,380197,398402,18205,0.1577,0.2,2026-03-16
pos_006,port_ana,inst_fondo_medio,0.760062,320854,339499,243869,258040,14171,0.1021,0.1,2026-03-16
pos_007,port_ana,inst_fondo_rv_glo,0.344408,490096,533359,168793,183693,14900,0.0727,0.05,2026-03-16
pos_008,port_ana,inst_etf_global,1.044378,147124,155679,153653,162588,8935,0.0644,0.05,2026-03-16
pos_009,port_carmen,inst_bondia,94.115883,245800,269553,23133684,25369219,2235535,0.0903,0.1,2025-09-15
pos_010,port_carmen,inst_fondo_medio,70.667843,312900,339499,22111968,23991662,1879694,0.0854,0.1,2025-09-15
pos_011,port_carmen,inst_deuda_corp,101.68884,100000,111584,10168884,11346848,1177964,0.0404,0.05,2025-09-15
pos_012,port_carmen,inst_fondo_rv_nal,87.564886,428600,523263,37530310,45819465,8289155,0.163,0.15,2025-09-15
pos_013,port_carmen,inst_fondo_rv_glo,70.292482,519300,533359,36502886,37491128,988242,0.1334,0.15,2025-09-15
pos_014,port_carmen,inst_etf_global,549.494223,128450,155679,70582533,85544711,14962178,0.3042,0.25,2025-09-15
pos_015,port_carmen,inst_naftrac,3830.324242,5940,6663,22752126,25521450,2769324,0.0908,0.1,2025-09-15
pos_016,port_carmen,inst_acc_gfnorte,1483.151469,14980,17523,22217609,25989263,3771654,0.0925,0.1,2025-09-15
